// Dataset: giops_day,,,,,,
// Timestamp: 2021-01-31 12:00:00+00:00,,,,,,
Latitude, Longitude, Depth (m), Pressure, Salinity, Temperature, Sound Speed
48.3319,-61.1627,0.5,0.5,30.8,1.1,1448.4
48.3319,-61.1627,1.5,1.6,30.8,1.1,1448.5
48.3319,-61.1627,2.6,2.7,30.8,1.1,1448.5
48.3319,-61.1627,3.8,3.8,30.8,1.1,1448.5
48.3319,-61.1627,5.1,5.1,30.8,1.1,1448.5
48.3319,-61.1627,6.4,6.5,30.8,1.1,1448.5
48.3319,-61.1627,7.9,8,30.8,1.1,1448.6
48.3319,-61.1627,9.6,9.7,30.8,1.1,1448.6
48.3319,-61.1627,11.4,11.5,30.8,1.1,1448.6
48.3319,-61.1627,13.5,13.6,30.8,1.1,1448.7
48.3319,-61.1627,15.8,16,30.8,1.1,1448.7
48.3319,-61.1627,18.5,18.7,30.8,1.1,1448.7
48.3319,-61.1627,21.6,21.8,30.8,1.1,1448.8
48.3319,-61.1627,25.2,25.4,30.8,1.1,1448.9
48.3319,-61.1627,29.4,29.7,30.8,1.1,1449
48.3319,-61.1627,34.4,34.7,30.8,1.2,1449.4
48.3319,-61.1627,40.3,40.7,31.3,2.2,1454.7
48.3319,-61.1627,47.4,47.8,31.8,2.4,1456.5
48.3319,-61.1627,55.8,56.3,32.2,2,1455.3
48.3319,-61.1627,65.8,66.4,32.5,1.8,1454.9
48.3319,-61.1627,77.9,78.6,32.8,1.6,1454.9
48.3319,-61.1627,92.3,93.2,33,1.7,1455.7
48.3319,-61.1627,109.7,110.7,33.2,2.1,1457.8
48.3319,-61.1627,130.7,131.9,33.5,2.9,1462.1
48.3319,-61.1627,155.9,157.3,33.8,4.1,1468.3
48.3319,-61.1627,186.1,187.9,34.2,5.6,1475.1
48.3319,-61.1627,222.5,224.6,34.6,6.6,1480.3
48.3319,-61.1627,266,268.6,34.8,6.7,1481.7
48.3319,-61.1627,318.1,321.2,34.9,6.4,1481.4
48.3319,-61.1627,380.2,383.9,35,6.3,1482
