// Dataset: giops_day
// Timestamp: 2021-01-31 12:00:00+00:00
Latitude, Longitude, Depth (m), Pressure, Salinity, Temperature, Sound Speed
44.8264, -56.6095, 0.5, 0.5, 31.4, 4.1, 1462.6
44.8264, -56.6095, 1.5, 1.6, 31.4, 4.1, 1462.6
44.8264, -56.6095, 2.6, 2.7, 31.4, 4.1, 1462.6
44.8264, -56.6095, 3.8, 3.8, 31.4, 4.1, 1462.6
44.8264, -56.6095, 5.1, 5.1, 31.4, 4.1, 1462.7
44.8264, -56.6095, 6.4, 6.5, 31.4, 4.1, 1462.7
44.8264, -56.6095, 7.9, 8.0, 31.4, 4.1, 1462.7
44.8264, -56.6095, 9.6, 9.7, 31.4, 4.1, 1462.7
44.8264, -56.6095, 11.4, 11.5, 31.4, 4.1, 1462.8
44.8264, -56.6095, 13.5, 13.6, 31.4, 4.1, 1462.8
44.8264, -56.6095, 15.8, 15.9, 31.4, 4.1, 1462.9
44.8264, -56.6095, 18.5, 18.7, 31.4, 4.1, 1462.9
44.8264, -56.6095, 21.6, 21.8, 31.4, 4.1, 1463.0
44.8264, -56.6095, 25.2, 25.4, 31.4, 4.2, 1463.1
44.8264, -56.6095, 29.4, 29.7, 31.4, 4.2, 1463.3
44.8264, -56.6095, 34.4, 34.7, 31.4, 4.2, 1463.6
44.8264, -56.6095, 40.3, 40.7, 31.5, 4.3, 1463.9
44.8264, -56.6095, 47.4, 47.8, 31.6, 4.2, 1463.9
44.8264, -56.6095, 55.8, 56.2, 32.3, 3.2, 1460.7
44.8264, -56.6095, 65.8, 66.4, 32.5, 2.6, 1458.8
44.8264, -56.6095, 77.9, 78.5, 32.7, 2.5, 1458.5
44.8264, -56.6095, 92.3, 93.1, 32.8, 2.7, 1459.8
44.8264, -56.6095, 109.7, 110.7, 33.2, 3.7, 1464.7
44.8264, -56.6095, 130.7, 131.8, 33.8, 5.8, 1474.7
44.8264, -56.6095, 155.9, 157.2, 34.6, 8.5, 1486.3
44.8264, -56.6095, 186.1, 187.8, 35.0, 9.4, 1490.8
44.8264, -56.6095, 222.5, 224.5, 35.0, 8.7, 1488.9
44.8264, -56.6095, 266.0, 268.5, 35.0, 7.4, 1484.8
44.8264, -56.6095, 318.1, 321.1, 34.9, 6.2, 1480.6
44.8264, -56.6095, 380.2, 383.8, 34.9, 5.5, 1478.8
44.8264, -56.6095, 453.9, 458.3, 34.9, 5.0, 1478.1
44.8264, -56.6095, 541.1, 546.4, 34.9, 4.8, 1478.9
44.8264, -56.6095, 643.6, 650.0, 34.9, 4.7, 1480.3
44.8264, -56.6095, 763.3, 771.2, 34.9, 4.5, 1481.3
