// Dataset: giops_day,,,,,,
// Timestamp: 2021-02-10 12:00:00+00:00,,,,,,
Latitude,Longitude,Depth (m),Pressure,Salinity,Temperature,Sound Speed
45.5119,-56.8699,0.5,0.5,31.3,3.4,1459.3
45.5119,-56.8699,1.5,1.6,31.3,3.4,1459.4
45.5119,-56.8699,2.6,2.7,31.3,3.4,1459.4
45.5119,-56.8699,3.8,3.9,31.3,3.4,1459.4
45.5119,-56.8699,5.1,5.1,31.3,3.4,1459.4
45.5119,-56.8699,6.4,6.5,31.3,3.4,1459.4
45.5119,-56.8699,7.9,8,31.3,3.4,1459.5
45.5119,-56.8699,9.6,9.7,31.3,3.4,1459.5
45.5119,-56.8699,11.4,11.5,31.3,3.4,1459.5
45.5119,-56.8699,13.5,13.6,31.3,3.4,1459.6
45.5119,-56.8699,15.8,16,31.3,3.4,1459.6
45.5119,-56.8699,18.5,18.7,31.3,3.4,1459.6
45.5119,-56.8699,21.6,21.8,31.3,3.4,1459.7
45.5119,-56.8699,25.2,25.4,31.4,3.4,1459.7
45.5119,-56.8699,29.4,29.7,31.4,3.4,1459.8
45.5119,-56.8699,34.4,34.7,31.4,3.3,1459.8
45.5119,-56.8699,40.3,40.7,31.5,3.3,1459.8
45.5119,-56.8699,47.4,47.8,31.6,3.2,1459.7
45.5119,-56.8699,55.8,56.3,31.8,3.1,1459.4
45.5119,-56.8699,65.8,66.4,32.2,2.9,1459.3
45.5119,-56.8699,77.9,78.6,32.5,2.9,1459.9
45.5119,-56.8699,92.3,93.2,32.7,3.1,1461.6
45.5119,-56.8699,109.7,110.7,33.2,4.3,1467.2
45.5119,-56.8699,130.7,131.8,33.8,6.2,1476.2
45.5119,-56.8699,155.9,157.3,34.6,8.2,1485.5
45.5119,-56.8699,186.1,187.8,34.9,8.6,1487.6
45.5119,-56.8699,222.5,224.5,34.9,7.3,1483.2
45.5119,-56.8699,266,268.5,34.9,6.1,1479.4
45.5119,-56.8699,318.1,321.1,34.8,5.4,1477.5
45.5119,-56.8699,380.2,383.8,34.9,5.3,1478.2
