// Dataset: giops_day,,,,,,
// Timestamp: 2021-02-01 12:00:00+00:00,,,,,,
Latitude,Longitude,Depth (m),Pressure,Salinity,Temperature,Sound Speed
44.95,-56.15,0.5,0.5,31.6,4.6,1464.6
44.95,-56.15,1.5,1.6,31.6,4.6,1464.6
44.95,-56.15,2.6,2.7,31.6,4.6,1464.6
44.95,-56.15,3.8,3.9,31.6,4.6,1464.6
44.95,-56.15,5.1,5.1,31.6,4.6,1464.7
44.95,-56.15,6.4,6.5,31.6,4.6,1464.7
44.95,-56.15,7.9,8,31.6,4.6,1464.7
44.95,-56.15,9.6,9.7,31.6,4.6,1464.8
44.95,-56.15,11.4,11.5,31.6,4.6,1464.9
44.95,-56.15,13.5,13.6,31.6,4.6,1465.1
44.95,-56.15,15.8,16,31.7,4.7,1465.4
44.95,-56.15,18.5,18.7,31.7,4.7,1465.6
44.95,-56.15,21.6,21.8,31.8,4.7,1465.8
44.95,-56.15,25.2,25.4,31.8,4.7,1465.8
44.95,-56.15,29.4,29.7,31.8,4.7,1465.9
44.95,-56.15,34.4,34.7,31.8,4.6,1465.7
44.95,-56.15,40.3,40.7,31.9,4.3,1464.7
44.95,-56.15,47.4,47.8,32.3,3.7,1462.7
44.95,-56.15,55.8,56.2,32.6,2.7,1458.9
44.95,-56.15,65.8,66.4,32.6,2.3,1457.6
44.95,-56.15,77.9,78.6,32.6,2.3,1457.4
44.95,-56.15,92.3,93.1,32.7,2.1,1457.2
44.95,-56.15,109.7,110.7,32.8,2.6,1459.8
44.95,-56.15,130.7,131.8,33.2,3.6,1464.7
44.95,-56.15,155.9,157.3,34,6.4,1477.5
44.95,-56.15,186.1,187.8,34.8,8.7,1488
44.95,-56.15,222.5,224.5,35.1,9.1,1490.5
44.95,-56.15,266,268.5,35.1,8.2,1487.9
44.95,-56.15,318.1,321.1,35,6.9,1483.4
44.95,-56.15,380.2,383.8,35,6.2,1481.6
44.95,-56.15,453.9,458.3,34.9,5.5,1480.3
44.95,-56.15,541.1,546.4,34.9,5.2,1480.5
44.95,-56.15,643.6,650.1,35,5.1,1481.8
44.95,-56.15,763.3,771.2,35,4.7,1482.2
44.95,-56.15,902.3,912,35,4.7,1484.4
44.95,-56.15,1062.4,1074.2,35,4.4,1486.1
