// Dataset: giops_day,,,,,,
// Timestamp: 2021-02-01 12:00:00+00:00,,,,,,
Latitude,Longitude,Depth (m),Pressure,Salinity,Temperature,Sound Speed
44.45,-56.255,0.5,0.5,32.9,5.3,1469.5
44.45,-56.255,1.5,1.6,32.9,5.3,1469.5
44.45,-56.255,2.6,2.7,32.9,5.3,1469.5
44.45,-56.255,3.8,3.8,32.9,5.3,1469.5
44.45,-56.255,5.1,5.1,32.9,5.3,1469.5
44.45,-56.255,6.4,6.5,32.9,5.3,1469.6
44.45,-56.255,7.9,8,32.9,5.3,1469.6
44.45,-56.255,9.6,9.7,32.9,5.4,1469.6
44.45,-56.255,11.4,11.5,32.9,5.4,1469.7
44.45,-56.255,13.5,13.6,32.9,5.4,1469.7
44.45,-56.255,15.8,15.9,32.9,5.4,1469.8
44.45,-56.255,18.5,18.7,32.9,5.4,1469.8
44.45,-56.255,21.6,21.8,32.9,5.4,1469.9
44.45,-56.255,25.2,25.4,32.9,5.4,1470
44.45,-56.255,29.4,29.7,32.9,5.3,1470
44.45,-56.255,34.4,34.7,32.9,5.3,1469.9
44.45,-56.255,40.3,40.7,33,5.2,1469.7
44.45,-56.255,47.4,47.8,33,5.2,1469.9
44.45,-56.255,55.8,56.2,33,4.7,1467.9
44.45,-56.255,65.8,66.4,33,4.5,1467
44.45,-56.255,77.9,78.5,33,3.9,1464.8
44.45,-56.255,92.3,93.1,33.2,4.1,1466.1
44.45,-56.255,109.7,110.7,33.8,5.9,1474.5
44.45,-56.255,130.7,131.8,34.4,8.4,1485.4
44.45,-56.255,155.9,157.2,34.9,9.8,1491.6
44.45,-56.255,186.1,187.8,35.2,10.4,1494.4
44.45,-56.255,222.5,224.5,35.3,10.2,1494.5
44.45,-56.255,266,268.5,35.2,9.2,1491.5
44.45,-56.255,318.1,321.1,35.1,7.9,1487.4
44.45,-56.255,380.2,383.8,35,6.9,1484.8
44.45,-56.255,453.9,458.3,35,6,1482.2
44.45,-56.255,541.1,546.4,35,5.4,1481.3
44.45,-56.255,643.6,650,35,5.2,1482.1
44.45,-56.255,763.3,771.2,35,4.7,1482.2
44.45,-56.255,902.3,911.9,35,4.7,1484.4
44.45,-56.255,1062.4,1074.1,35,4.4,1486
44.45,-56.255,1245.3,1259.5,35,4.2,1488.3
44.45,-56.255,1452.2,1469.5,35,4,1490.8
44.45,-56.255,1684.3,1705.2,35,3.8,1493.9
44.45,-56.255,1941.9,1967.2,34.9,3.6,1497.5
44.45,-56.255,2225.1,2255.5,34.9,3.3,1501.1
