// Dataset: giops_day,,,,,,
// Timestamp: 2021-02-05 00:00:00+00:00,,,,,,
Latitude,Longitude,Depth (m),Pressure,Salinity,Temperature,Sound Speed
44.62,-57.0001,0.5,0.5,31.2,4.1,1462.1
44.62,-57.0001,1.5,1.6,31.2,4.1,1462.2
44.62,-57.0001,2.6,2.7,31.2,4.1,1462.2
44.62,-57.0001,3.8,3.8,31.2,4.1,1462.2
44.62,-57.0001,5.1,5.1,31.3,4.1,1462.2
44.62,-57.0001,6.4,6.5,31.3,4.1,1462.2
44.62,-57.0001,7.9,8,31.3,4,1462.1
44.62,-57.0001,9.6,9.7,31.3,4,1462.1
44.62,-57.0001,11.4,11.5,31.3,4,1462.1
44.62,-57.0001,13.5,13.6,31.3,4,1462.1
44.62,-57.0001,15.8,16,31.3,4,1462.1
44.62,-57.0001,18.5,18.7,31.3,4,1462.1
44.62,-57.0001,21.6,21.8,31.3,4,1462.1
44.62,-57.0001,25.2,25.4,31.3,4,1462.1
44.62,-57.0001,29.4,29.7,31.3,4,1462.2
44.62,-57.0001,34.4,34.7,31.4,3.9,1462.3
44.62,-57.0001,40.3,40.7,31.4,3.9,1462.4
44.62,-57.0001,47.4,47.8,31.6,3.8,1462.3
44.62,-57.0001,55.8,56.2,32,3.6,1462
44.62,-57.0001,65.8,66.4,32.2,3.2,1460.7
44.62,-57.0001,77.9,78.5,32.5,3,1460.4
44.62,-57.0001,92.3,93.1,32.7,3.1,1461.4
44.62,-57.0001,109.7,110.7,33.1,3.9,1465.6
44.62,-57.0001,130.7,131.8,33.6,5.7,1474.1
44.62,-57.0001,155.9,157.2,34.4,8.3,1485.4
44.62,-57.0001,186.1,187.8,34.9,9.4,1490.6
44.62,-57.0001,222.5,224.5,35,8.6,1488.4
44.62,-57.0001,266,268.5,35,7.4,1484.6
44.62,-57.0001,318.1,321.1,34.9,6.1,1480.5
44.62,-57.0001,380.2,383.8,34.9,5.5,1479.1
44.62,-57.0001,453.9,458.3,34.9,5.3,1479.5
44.62,-57.0001,541.1,546.4,34.9,5.1,1480
44.62,-57.0001,643.6,650,34.9,4.9,1481
44.62,-57.0001,763.3,771.2,35,4.5,1481.3
44.62,-57.0001,902.3,911.9,35,4.4,1483.3
44.62,-57.0001,1062.4,1074.1,35,4.3,1485.4
44.62,-57.0001,1245.3,1259.5,35,4.1,1487.9
