// Dataset: giops_day,,,,,,
// Timestamp: 2021-02-10 12:00:00+00:00,,,,,,
Latitude,Longitude,Depth (m),Pressure,Salinity,Temperature,Sound Speed
43.0662,32.6733,0.5,0.5,18.8,9.2,1467.3
43.0662,32.6733,1.5,1.6,18.8,9.2,1467.3
43.0662,32.6733,2.6,2.7,18.8,9.2,1467.3
43.0662,32.6733,3.8,3.8,18.8,9.2,1467.3
43.0662,32.6733,5.1,5.1,18.8,9.2,1467.3
43.0662,32.6733,6.4,6.5,18.8,9.2,1467.3
43.0662,32.6733,7.9,8,18.8,9.2,1467.4
43.0662,32.6733,9.6,9.7,18.8,9.2,1467.4
43.0662,32.6733,11.4,11.5,18.8,9.2,1467.4
43.0662,32.6733,13.5,13.6,18.8,9.2,1467.4
43.0662,32.6733,15.8,15.9,18.8,9.2,1467.5
43.0662,32.6733,18.5,18.7,18.8,9.2,1467.5
43.0662,32.6733,21.6,21.8,18.8,9.2,1467.6
43.0662,32.6733,25.2,25.4,18.8,9.2,1467.6
43.0662,32.6733,29.4,29.7,18.8,9.2,1467.7
43.0662,32.6733,34.4,34.7,18.8,9.2,1467.8
43.0662,32.6733,40.3,40.7,18.9,9.2,1467.9
43.0662,32.6733,47.4,47.8,18.9,9.3,1468.6
43.0662,32.6733,55.8,56.2,19.3,10,1471.7
43.0662,32.6733,65.8,66.4,19.6,10,1472.2
43.0662,32.6733,77.9,78.5,20,9.8,1472.2
43.0662,32.6733,92.3,93.1,20.4,9.3,1471.1
43.0662,32.6733,109.7,110.7,20.7,9,1470.4
43.0662,32.6733,130.7,131.8,21,8.8,1470.4
43.0662,32.6733,155.9,157.2,21.2,8.8,1471
43.0662,32.6733,186.1,187.8,21.4,8.8,1471.9
43.0662,32.6733,222.5,224.5,21.6,8.9,1472.9
43.0662,32.6733,266,268.5,21.8,8.9,1473.8
43.0662,32.6733,318.1,321,21.9,8.8,1474.8
43.0662,32.6733,380.2,383.7,22,8.8,1475.9
43.0662,32.6733,453.9,458.2,22.1,8.8,1477.1
43.0662,32.6733,541.1,546.3,22.1,8.8,1478.6
43.0662,32.6733,643.6,649.9,22.2,8.8,1480.4
43.0662,32.6733,763.3,771.1,22.2,8.8,1482.4
43.0662,32.6733,902.3,911.8,22.3,8.8,1484.9
43.0662,32.6733,1062.4,1074,22.3,8.8,1487.7
43.0662,32.6733,1245.3,1259.3,22.3,8.8,1490.8
43.0662,32.6733,1452.2,1469.3,22.3,8.9,1494.2
43.0662,32.6733,1684.3,1705,22.3,8.9,1498.2
43.0662,32.6733,1941.9,1966.9,22.4,8.9,1502.8
43.0662,32.6733,2225.1,2255.2,23,9,1508.8
